,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.592653751373291,0.0,"tf.Tensor([0.5262238  0.58078575 0.00556323 0.        ], shape=(4,), dtype=float32)",0.03411319851875305,1.0,0.2862395644187927,0.49159449338912964,0.0,"tf.Tensor([0.67431843 0.09083079 0.         0.        ], shape=(4,), dtype=float32)",0.034121736884117126,1.0,0.2688486874103546
1,0.6705993413925171,0.0,"tf.Tensor([0.5626526  0.5888521  0.00568232 0.00073187], shape=(4,), dtype=float32)",0.02214032970368862,1.0,0.27050888538360596,0.5410086512565613,0.0,"tf.Tensor([0.6652725  0.23441036 0.02693879 0.        ], shape=(4,), dtype=float32)",0.031338129192590714,1.0,0.27852776646614075
2,0.68145352602005,0.0,"tf.Tensor([0.5621587  0.59633505 0.01245483 0.00127196], shape=(4,), dtype=float32)",0.02103332243859768,1.0,0.2695060670375824,0.5588384866714478,0.0,"tf.Tensor([0.30504894 0.66301155 0.         0.        ], shape=(4,), dtype=float32)",0.033163417130708694,1.0,0.3669129014015198
3,0.6981280446052551,0.0,"tf.Tensor([0.5630238  0.60699093 0.00503052 0.00186227], shape=(4,), dtype=float32)",0.019682804122567177,1.0,0.2696043848991394,0.5878757238388062,0.0,"tf.Tensor([0.3786827  0.65805733 0.00931998 0.        ], shape=(4,), dtype=float32)",0.027351604774594307,1.0,0.29877737164497375
4,0.7057574391365051,0.0,"tf.Tensor([0.5638187  0.6091685  0.00806088 0.0023169 ], shape=(4,), dtype=float32)",0.01896009035408497,1.0,0.2640199661254883,0.5858380198478699,0.0,"tf.Tensor([0.64717644 0.36423653 0.00202877 0.00418071], shape=(4,), dtype=float32)",0.027759850025177002,1.0,0.23217014968395233
5,0.7123643159866333,0.0,"tf.Tensor([0.56469744 0.612383   0.01197754 0.00287289], shape=(4,), dtype=float32)",0.01852520741522312,1.0,0.2677363455295563,0.5858380198478699,0.0,"tf.Tensor([0.6525921  0.35295108 0.00969184 0.00213146], shape=(4,), dtype=float32)",0.02750585414469242,1.0,0.2283494621515274
6,0.711813747882843,0.0,"tf.Tensor([0.56081665 0.6153733  0.0119387  0.00290666], shape=(4,), dtype=float32)",0.01821078173816204,1.0,0.2640199661254883,0.5924605131149292,0.0,"tf.Tensor([0.64326483 0.38716805 0.03207966 0.        ], shape=(4,), dtype=float32)",0.026230288669466972,1.0,0.23217014968395233
7,0.7251848578453064,0.0,"tf.Tensor([0.5657014  0.6140192  0.0151461  0.00527453], shape=(4,), dtype=float32)",0.017889710143208504,1.0,0.26628127694129944,0.6046866774559021,0.0,"tf.Tensor([0.63988864 0.41235206 0.00742339 0.00217277], shape=(4,), dtype=float32)",0.025437548756599426,1.0,0.2673204243183136
8,0.7338367104530334,0.0,"tf.Tensor([0.57183516 0.61324435 0.01852675 0.00382292], shape=(4,), dtype=float32)",0.017330698668956757,1.0,0.26364636421203613,0.6240448355674744,0.0,"tf.Tensor([0.3861084  0.67073196 0.00424646 0.        ], shape=(4,), dtype=float32)",0.02876540645956993,1.0,0.23178808391094208
9,0.734544575214386,0.0,"tf.Tensor([0.5664884  0.618128   0.016134   0.00440709], shape=(4,), dtype=float32)",0.0170914176851511,1.0,0.26193565130233765,0.5955170392990112,0.0,"tf.Tensor([0.32833248 0.67405576 0.00537845 0.        ], shape=(4,), dtype=float32)",0.025789767503738403,1.0,0.2399388700723648
10,0.7508258819580078,0.0,"tf.Tensor([0.57265866 0.62147003 0.02159472 0.00394575], shape=(4,), dtype=float32)",0.016524383798241615,1.0,0.2628401815891266,0.6653081774711609,0.0,"tf.Tensor([0.54415613 0.6066016  0.01167445 0.00382941], shape=(4,), dtype=float32)",0.02348490059375763,1.0,0.31979113817214966
11,0.7471291422843933,0.0,"tf.Tensor([0.571477   0.61953205 0.0229479  0.00410724], shape=(4,), dtype=float32)",0.016440484672784805,1.0,0.26350873708724976,0.598573625087738,0.0,"tf.Tensor([0.38753256 0.65691537 0.08242414 0.00304188], shape=(4,), dtype=float32)",0.027525588870048523,1.0,0.12480896711349487
12,0.7520056366920471,0.0,"tf.Tensor([0.5754014  0.6181214  0.02216011 0.00442113], shape=(4,), dtype=float32)",0.016226693987846375,1.0,0.26099181175231934,0.6653081774711609,0.0,"tf.Tensor([0.51723784 0.62692577 0.04895832 0.00173822], shape=(4,), dtype=float32)",0.025754814967513084,1.0,0.27356088161468506
13,0.7626239061355591,0.0,"tf.Tensor([0.57602817 0.6212298  0.02439976 0.0022579 ], shape=(4,), dtype=float32)",0.01572819985449314,1.0,0.26266321539878845,0.6647987961769104,0.0,"tf.Tensor([0.49245733 0.64429975 0.05683636 0.00304188], shape=(4,), dtype=float32)",0.02282826229929924,1.0,0.24235863983631134
14,0.7613654136657715,0.0,"tf.Tensor([0.5687728  0.6279997  0.02710746 0.00413021], shape=(4,), dtype=float32)",0.015796061605215073,1.0,0.261345773935318,0.6464595198631287,0.0,"tf.Tensor([0.6124441  0.507836   0.00320594 0.        ], shape=(4,), dtype=float32)",0.025373075157403946,1.0,0.22949567437171936
15,0.7708824872970581,0.0,"tf.Tensor([0.5758714  0.6277657  0.02503582 0.00409699], shape=(4,), dtype=float32)",0.014931746758520603,1.0,0.2648261785507202,0.6535914540290833,0.0,"tf.Tensor([0.47825807 0.6431601  0.13286106 0.00090532], shape=(4,), dtype=float32)",0.026166528463363647,1.0,0.20899133384227753
16,0.7630171179771423,0.0,"tf.Tensor([0.57269514 0.62607145 0.02471014 0.00175931], shape=(4,), dtype=float32)",0.015191426500678062,1.0,0.25983166694641113,0.6469689011573792,0.0,"tf.Tensor([0.60702777 0.50702524 0.0111679  0.        ], shape=(4,), dtype=float32)",0.02456558309495449,1.0,0.3260315954685211
17,0.7679722905158997,0.0,"tf.Tensor([0.5732905  0.62872356 0.03178176 0.00474614], shape=(4,), dtype=float32)",0.014764174818992615,1.0,0.26118844747543335,0.6006113290786743,0.0,"tf.Tensor([0.6542412  0.36471543 0.01938139 0.01648752], shape=(4,), dtype=float32)",0.02729959413409233,1.0,0.1842842549085617
18,0.7681296467781067,0.0,"tf.Tensor([0.5734538  0.6293081  0.03050028 0.00622304], shape=(4,), dtype=float32)",0.014673717319965363,1.0,0.26193565130233765,0.6597045063972473,0.0,"tf.Tensor([0.43659067 0.6694611  0.03773127 0.        ], shape=(4,), dtype=float32)",0.022806596010923386,1.0,0.25534895062446594
19,0.7682082653045654,0.0,"tf.Tensor([0.571664   0.63025886 0.03335467 0.00439713], shape=(4,), dtype=float32)",0.014709802344441414,1.0,0.26297780871391296,0.6148751974105835,0.0,"tf.Tensor([0.6492177  0.39820004 0.02825319 0.00540609], shape=(4,), dtype=float32)",0.024832721799612045,1.0,0.30527254939079285
20,0.7721409201622009,0.0,"tf.Tensor([0.5694845  0.634471   0.04021252 0.00755457], shape=(4,), dtype=float32)",0.01475544460117817,1.0,0.2641182839870453,0.6637799143791199,0.0,"tf.Tensor([0.506571   0.63229185 0.01075014 0.00173822], shape=(4,), dtype=float32)",0.02889075316488743,1.0,0.40053489804267883
21,0.7688375115394592,0.0,"tf.Tensor([0.5665527  0.63522583 0.03621831 0.00833802], shape=(4,), dtype=float32)",0.014593186788260937,1.0,0.25989067554473877,0.692307710647583,0.0,"tf.Tensor([0.55453855 0.6093281  0.00496793 0.00173822], shape=(4,), dtype=float32)",0.023325102403759956,1.0,0.2997962236404419
22,0.7674217224121094,0.0,"tf.Tensor([0.5719722  0.63025516 0.02775087 0.00704998], shape=(4,), dtype=float32)",0.014406303875148296,1.0,0.2619553208351135,0.678043782711029,0.0,"tf.Tensor([0.5171442  0.63205117 0.03344274 0.00173822], shape=(4,), dtype=float32)",0.022440258413553238,1.0,0.2968670427799225
23,0.7774107456207275,0.0,"tf.Tensor([0.5719457  0.6334122  0.02796446 0.00748793], shape=(4,), dtype=float32)",0.014266470447182655,1.0,0.26543572545051575,0.6851757764816284,0.0,"tf.Tensor([0.55007887 0.6133131  0.05909313 0.        ], shape=(4,), dtype=float32)",0.02238278277218342,1.0,0.1994396299123764
24,0.7593991160392761,0.0,"tf.Tensor([0.579891   0.6204215  0.02962916 0.00714439], shape=(4,), dtype=float32)",0.014749940484762192,1.0,0.26173901557922363,0.674987256526947,0.0,"tf.Tensor([0.5874964  0.56989354 0.02947568 0.        ], shape=(4,), dtype=float32)",0.022030306980013847,1.0,0.29431992769241333
25,0.7661632895469666,0.0,"tf.Tensor([0.5812826  0.62114304 0.0359522  0.00605905], shape=(4,), dtype=float32)",0.014184013940393925,1.0,0.26555371284484863,0.63270503282547,0.0,"tf.Tensor([0.39480227 0.6715811  0.09200956 0.        ], shape=(4,), dtype=float32)",0.025689449161291122,1.0,0.1914162039756775
26,0.7711184620857239,0.0,"tf.Tensor([0.5784067  0.6247295  0.03840128 0.00559567], shape=(4,), dtype=float32)",0.013972703367471695,1.0,0.2654553949832916,0.6597045063972473,0.0,"tf.Tensor([0.5527865  0.5972684  0.00138069 0.        ], shape=(4,), dtype=float32)",0.025600450113415718,1.0,0.3549414277076721
27,0.7603429555892944,0.0,"tf.Tensor([0.57095414 0.62858826 0.02898635 0.0086678 ], shape=(4,), dtype=float32)",0.014459414407610893,1.0,0.26946672797203064,0.5899133682250977,0.0,"tf.Tensor([0.3399661  0.6769526  0.03058609 0.02172038], shape=(4,), dtype=float32)",0.02739584632217884,1.0,0.2794192433357239
28,0.7718263268470764,0.0,"tf.Tensor([0.5752114  0.63087213 0.01828273 0.00551588], shape=(4,), dtype=float32)",0.014419267885386944,1.0,0.2668515145778656,0.6642893552780151,0.0,"tf.Tensor([0.48422626 0.65139514 0.03843985 0.        ], shape=(4,), dtype=float32)",0.02299807034432888,1.0,0.306291401386261
29,0.7748938202857971,0.0,"tf.Tensor([0.5773224  0.62903243 0.03408364 0.00203281], shape=(4,), dtype=float32)",0.014184103347361088,1.0,0.261149138212204,0.6454406380653381,0.0,"tf.Tensor([0.43863034 0.6655703  0.06252026 0.        ], shape=(4,), dtype=float32)",0.02511020377278328,1.0,0.27356088161468506
