                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1277,                 4.3207,                 4.1709,                0.01969,                0.14573,                 0.0119,                0.00332,                 2.7029,                 12.823,                 4.3483,              0.0033257,              0.0033257,              0.0033257
                      2,                 2.8017,                 3.5708,                  3.409,                0.25872,                0.24407,                0.17418,                0.06329,                 2.2518,                 3.0564,                 2.9648,              0.0066574,              0.0066574,              0.0066574
                      3,                 2.2042,                  2.841,                 2.7435,                0.39704,                0.28295,                0.26378,                0.09934,                 2.0881,                 2.6674,                 2.6572,              0.0099826,              0.0099826,              0.0099826
                      4,                 2.0082,                  2.524,                 2.4807,                0.28774,                0.37672,                0.31947,                0.13521,                  1.923,                 2.6856,                 2.5234,               0.009978,               0.009978,               0.009978
                      5,                 1.9327,                 2.3835,                 2.3666,                0.46429,                0.43489,                0.41176,                 0.1742,                 1.9364,                 2.2614,                 2.3902,               0.009961,               0.009961,               0.009961
                      6,                 1.8721,                 2.2719,                 2.3019,                0.49741,                0.45342,                  0.428,                0.19209,                 1.8782,                 2.1399,                 2.3751,              0.0099391,              0.0099391,              0.0099391
                      7,                 1.8373,                 2.1988,                 2.2495,                0.51521,                  0.472,                0.46925,                 0.2204,                 1.7779,                 2.0701,                 2.2516,              0.0099123,              0.0099123,              0.0099123
                      8,                 1.8009,                 2.1417,                 2.1997,                0.52782,                0.46576,                0.46659,                0.22242,                 1.7874,                  1.912,                 2.2123,              0.0098808,              0.0098808,              0.0098808
                      9,                 1.7761,                 2.0946,                 2.1767,                   0.54,                0.46718,                0.47463,                0.22497,                 1.8133,                 1.9284,                  2.268,              0.0098445,              0.0098445,              0.0098445
                     10,                 1.7741,                 2.0628,                 2.1391,                0.62624,                0.48475,                0.51172,                0.24588,                 1.7825,                 1.8681,                 2.1952,              0.0098035,              0.0098035,              0.0098035
                     11,                   1.75,                 2.0092,                 2.1246,                0.63008,                0.49395,                0.53872,                0.26273,                  1.766,                 1.7844,                 2.1746,              0.0097577,              0.0097577,              0.0097577
                     12,                 1.7416,                 1.9599,                 2.1003,                0.62026,                0.48394,                0.52599,                0.26168,                 1.7296,                 1.7842,                 2.1573,              0.0097074,              0.0097074,              0.0097074
                     13,                 1.7119,                 1.9343,                 2.0792,                0.64135,                0.50566,                0.54164,                0.26735,                 1.7317,                 1.7738,                 2.1216,              0.0096524,              0.0096524,              0.0096524
                     14,                 1.7099,                 1.9083,                 2.0747,                0.66817,                0.50151,                0.54856,                0.27778,                 1.7339,                 1.7018,                 2.1027,              0.0095929,              0.0095929,              0.0095929
                     15,                 1.6835,                 1.8608,                 2.0559,                0.66667,                0.51796,                0.56343,                0.28529,                 1.7072,                 1.6788,                 2.1139,              0.0095289,              0.0095289,              0.0095289
                     16,                 1.6789,                 1.8606,                 2.0515,                0.67738,                0.53135,                0.58058,                0.29478,                 1.7194,                  1.593,                 2.0981,              0.0094605,              0.0094605,              0.0094605
                     17,                 1.6681,                 1.8063,                 2.0195,                0.67486,                0.53339,                0.57463,                0.29322,                 1.7003,                 1.6007,                 2.0849,              0.0093877,              0.0093877,              0.0093877
                     18,                  1.664,                 1.8077,                 2.0181,                0.70983,                0.52315,                0.58485,                0.30586,                 1.6718,                 1.5742,                 2.0378,              0.0093107,              0.0093107,              0.0093107
                     19,                 1.6597,                 1.7811,                  1.999,                0.71022,                0.54292,                0.59625,                0.30742,                 1.6904,                 1.5475,                 2.0704,              0.0092294,              0.0092294,              0.0092294
                     20,                 1.6502,                 1.7495,                 1.9948,                0.74874,                0.54482,                0.60499,                0.32192,                 1.6428,                 1.5076,                 2.0283,               0.009144,               0.009144,               0.009144
                     21,                 1.6342,                 1.7378,                 1.9755,                0.74511,                0.53996,                 0.6027,                0.32275,                 1.6399,                 1.5481,                 2.0224,              0.0090546,              0.0090546,              0.0090546
                     22,                 1.6223,                 1.7142,                 1.9709,                0.69826,                0.54151,                0.59295,                0.31569,                 1.6617,                 1.5053,                 2.0335,              0.0089613,              0.0089613,              0.0089613
                     23,                 1.6289,                 1.6873,                 1.9625,                0.73918,                0.55778,                0.61359,                0.32365,                 1.6799,                 1.4625,                 2.0591,               0.008864,               0.008864,               0.008864
