                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3154,                 3.0877,                 2.7713,                0.72354,                0.10237,                0.06334,                0.01757,                  3.059,                 3.0296,                 2.4516,               0.066777,             3.3257e-05,             3.3257e-05
                      2,                 2.8709,                 2.6944,                 2.4006,                0.83972,                0.11163,                0.15241,                0.05069,                 2.7394,                 2.5432,                 2.2601,               0.033476,             6.5931e-05,             6.5931e-05
                      3,                 2.6461,                 2.4628,                 2.2743,                0.86127,                0.12088,                0.17454,                0.05837,                 2.6405,                 2.4847,                 2.2002,             0.00017475,             9.7945e-05,             9.7945e-05
                      4,                  2.507,                 2.3072,                 2.1912,                0.87202,                0.12877,                0.20264,                0.07807,                 2.4402,                  2.556,                 2.1096,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                 2.3913,                 2.1979,                 2.1084,                0.21996,                0.28486,                0.21015,                0.07601,                 2.4103,                 2.4075,                 2.0773,              9.604e-05,              9.604e-05,              9.604e-05
                      6,                 2.3004,                 2.0973,                 2.0564,                0.29259,                 0.3083,                0.25229,                0.09728,                 2.3003,                 2.1048,                 2.0714,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 2.2584,                 2.0424,                 2.0289,                0.31848,                0.28783,                0.26562,                0.10842,                 2.2079,                 1.9898,                 1.9939,              9.406e-05,              9.406e-05,              9.406e-05
                      8,                 2.2069,                 1.9993,                 1.9965,                0.29407,                0.32644,                0.26167,                0.10804,                 2.1782,                  1.956,                 1.9494,              9.307e-05,              9.307e-05,              9.307e-05
                      9,                 2.1596,                 1.9414,                 1.9708,                0.32149,                0.33628,                0.27315,                0.10279,                 2.2311,                 1.9724,                 2.0113,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                 2.1322,                 1.9252,                 1.9446,                0.33181,                0.34249,                0.28945,                0.11676,                  2.151,                 1.9213,                 1.9269,              9.109e-05,              9.109e-05,              9.109e-05
                     11,                 2.1226,                 1.8948,                 1.9334,                0.34958,                0.36387,                0.31538,                0.13574,                  2.034,                 1.7878,                 1.8884,               9.01e-05,               9.01e-05,               9.01e-05
                     12,                 2.0865,                 1.8632,                  1.916,                 0.3714,                0.37284,                0.32127,                0.13804,                 2.0593,                 1.7356,                 1.8851,              8.911e-05,              8.911e-05,              8.911e-05
                     13,                 2.0654,                 1.8447,                 1.8925,                 0.3413,                0.37564,                0.31484,                0.13088,                 2.0566,                 1.8215,                  1.901,              8.812e-05,              8.812e-05,              8.812e-05
                     14,                 2.0457,                  1.821,                 1.8913,                0.41498,                0.37814,                0.33984,                0.14889,                 2.0181,                 1.6696,                 1.8601,              8.713e-05,              8.713e-05,              8.713e-05
                     15,                 2.0352,                 1.7893,                 1.8709,                 0.3825,                0.34514,                0.31697,                 0.1308,                 2.0924,                 1.7595,                 1.9048,              8.614e-05,              8.614e-05,              8.614e-05
