                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0406,                  3.226,                 3.4859,                0.06092,                 0.1465,                0.03003,                0.00852,                 3.0665,                 3.7661,                 3.1275,               0.070069,              0.0033257,              0.0033257
                      2,                 2.8185,                 2.5006,                 2.5236,                0.27385,                 0.1834,                0.17279,                0.06549,                 2.4073,                 2.2792,                 2.4506,               0.040047,               0.006637,               0.006637
                      3,                 2.2307,                 2.0659,                 2.1046,                0.32482,                0.29695,                0.24972,                0.10205,                 2.1641,                 1.9256,                  2.285,               0.010003,              0.0099264,              0.0099264
                      4,                 2.0748,                 1.9345,                 1.9965,                0.29678,                0.33176,                0.27946,                0.11872,                 2.0272,                 1.8988,                 2.1802,               0.009901,               0.009901,               0.009901
                      5,                 1.9992,                 1.8348,                 1.9263,                0.36209,                0.36455,                0.30177,                0.12813,                 2.0077,                 1.7816,                 2.1455,               0.009868,               0.009868,               0.009868
                      6,                 1.9419,                  1.761,                 1.8916,                0.31905,                0.36006,                 0.3001,                0.12618,                 2.0265,                 1.7876,                 2.1209,               0.009835,               0.009835,               0.009835
                      7,                 1.9094,                 1.7176,                 1.8698,                0.35315,                0.39886,                0.34179,                0.15407,                 1.8936,                 1.7065,                 2.0445,               0.009802,               0.009802,               0.009802
                      8,                 1.8728,                 1.6766,                 1.8495,                0.35474,                0.37254,                0.33201,                0.15333,                 1.9001,                 1.6463,                 2.0306,               0.009769,               0.009769,               0.009769
                      9,                 1.8426,                 1.6421,                 1.8337,                0.36297,                0.38834,                0.34153,                0.15518,                 1.8959,                 1.6604,                  2.071,               0.009736,               0.009736,               0.009736
                     10,                 1.8301,                 1.6237,                 1.8132,                 0.4252,                    0.4,                0.36134,                0.17075,                 1.8589,                 1.5257,                 1.9937,               0.009703,               0.009703,               0.009703
                     11,                 1.8174,                 1.5934,                 1.8055,                0.42868,                0.43141,                0.38537,                0.17941,                 1.8292,                 1.5265,                 1.9899,                0.00967,                0.00967,                0.00967
                     12,                 1.7971,                 1.5548,                 1.7973,                0.45108,                0.41703,                0.39444,                0.18539,                 1.8156,                 1.4674,                  1.975,               0.009637,               0.009637,               0.009637
