                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1006,                 4.0995,                 4.8618,                0.04244,                0.09322,                0.01426,                0.00433,                 2.6862,                 10.628,                 4.5641,               0.070069,              0.0033257,              0.0033257
                      2,                 2.8759,                 3.3547,                 4.1631,                0.20356,                0.20394,                0.15093,                  0.057,                 2.2734,                 3.6297,                 3.6236,               0.040003,              0.0065931,              0.0065931
                      3,                 2.2347,                 2.7841,                 3.3915,                0.32671,                0.29711,                0.25964,                0.10173,                 2.0655,                 2.8353,                  3.227,              0.0098713,              0.0097945,              0.0097945
                      4,                 2.0206,                 2.5174,                 3.0726,                0.34897,                0.37746,                0.33191,                0.15177,                 1.8659,                 2.6754,                 2.9769,               0.009703,               0.009703,               0.009703
                      5,                 1.9325,                 2.3906,                 2.9201,                0.50744,                0.39641,                0.38041,                 0.1695,                   1.92,                 2.2244,                 2.9782,               0.009604,               0.009604,               0.009604
                      6,                 1.8683,                 2.2722,                 2.8374,                0.53671,                0.41446,                0.41588,                0.18988,                 1.8721,                 2.1518,                 2.9159,               0.009505,               0.009505,               0.009505
                      7,                 1.8368,                 2.2161,                  2.786,                0.51348,                0.44897,                0.43963,                0.20574,                 1.8259,                 2.1191,                 2.8533,               0.009406,               0.009406,               0.009406
                      8,                 1.8049,                 2.1386,                 2.7147,                0.55908,                0.45002,                0.46533,                0.21571,                 1.8167,                 1.9583,                 2.7641,               0.009307,               0.009307,               0.009307
                      9,                 1.7716,                 2.0963,                 2.6824,                  0.488,                0.45421,                0.45842,                0.21534,                   1.83,                 2.0467,                 2.7823,               0.009208,               0.009208,               0.009208
                     10,                 1.7651,                 2.0674,                  2.659,                0.63535,                0.48448,                0.51528,                0.25676,                 1.7574,                 1.8072,                  2.665,               0.009109,               0.009109,               0.009109
                     11,                 1.7548,                 2.0061,                 2.6348,                0.60698,                0.49393,                0.52202,                0.25728,                 1.7341,                 1.8219,                  2.702,                0.00901,                0.00901,                0.00901
                     12,                 1.7248,                 1.9579,                 2.5978,                  0.666,                0.47705,                0.53879,                 0.2724,                 1.7461,                 1.7887,                 2.6889,               0.008911,               0.008911,               0.008911
                     13,                 1.7081,                  1.922,                  2.567,                0.64908,                0.49936,                0.53003,                0.26903,                 1.6964,                 1.7615,                 2.6385,               0.008812,               0.008812,               0.008812
                     14,                 1.6994,                 1.9014,                  2.575,                0.68347,                0.51466,                0.56211,                0.28219,                 1.7564,                 1.6864,                 2.6545,               0.008713,               0.008713,               0.008713
                     15,                 1.6822,                 1.8624,                 2.5519,                0.67574,                0.50984,                0.55845,                0.28668,                 1.7013,                 1.6473,                 2.6194,               0.008614,               0.008614,               0.008614
                     16,                  1.677,                 1.8442,                 2.5389,                0.66849,                0.52895,                0.57054,                0.28716,                 1.7089,                 1.6576,                 2.6258,               0.008515,               0.008515,               0.008515
                     17,                 1.6647,                 1.8066,                 2.5079,                0.70259,                0.51106,                0.57104,                0.29493,                  1.706,                  1.645,                 2.6002,               0.008416,               0.008416,               0.008416
                     18,                 1.6597,                  1.802,                 2.5002,                0.71004,                0.54384,                0.59176,                0.30713,                 1.6919,                 1.5717,                 2.5621,               0.008317,               0.008317,               0.008317
                     19,                 1.6534,                 1.7747,                 2.4914,                0.69059,                0.55006,                0.59164,                0.30937,                 1.6689,                 1.5689,                  2.612,               0.008218,               0.008218,               0.008218
                     20,                 1.6412,                 1.7462,                 2.4825,                0.72928,                0.55301,                0.61064,                0.32412,                 1.6496,                 1.4957,                 2.5337,               0.008119,               0.008119,               0.008119
                     21,                 1.6316,                 1.7271,                 2.4722,                0.74543,                0.54253,                0.60723,                 0.3196,                 1.6797,                 1.5083,                 2.5722,                0.00802,                0.00802,                0.00802
                     22,                 1.6167,                 1.7049,                 2.4618,                0.72052,                 0.5455,                0.61171,                0.32594,                 1.6452,                 1.4824,                 2.5372,               0.007921,               0.007921,               0.007921
                     23,                 1.6199,                 1.6756,                 2.4455,                0.74443,                0.54895,                0.61291,                 0.3235,                 1.6639,                 1.4696,                 2.5519,               0.007822,               0.007822,               0.007822
                     24,                 1.5976,                 1.6453,                 2.4228,                0.73596,                0.55845,                0.62865,                 0.3316,                 1.6563,                 1.4258,                 2.5131,               0.007723,               0.007723,               0.007723
                     25,                  1.609,                 1.6421,                 2.4101,                0.76136,                0.55983,                0.63475,                0.34285,                 1.6302,                 1.4267,                 2.5116,               0.007624,               0.007624,               0.007624
                     26,                 1.5968,                 1.6105,                 2.3986,                0.75564,                0.56903,                0.63382,                0.34105,                 1.6456,                 1.3937,                 2.5094,               0.007525,               0.007525,               0.007525
                     27,                 1.5864,                 1.5895,                 2.3924,                0.76519,                0.57008,                0.64136,                0.34541,                 1.6403,                 1.3398,                 2.4881,               0.007426,               0.007426,               0.007426
                     28,                 1.5857,                 1.5973,                 2.3762,                0.75705,                 0.5673,                0.63735,                0.34737,                 1.6222,                 1.3588,                 2.4581,               0.007327,               0.007327,               0.007327
                     29,                 1.5723,                  1.572,                 2.3712,                0.75264,                0.57932,                0.63799,                0.34626,                  1.634,                 1.3816,                  2.476,               0.007228,               0.007228,               0.007228
                     30,                 1.5666,                 1.5473,                 2.3415,                0.76501,                0.57311,                0.64989,                0.35725,                  1.623,                 1.3208,                 2.4409,               0.007129,               0.007129,               0.007129
                     31,                 1.5596,                 1.5357,                 2.3321,                0.75377,                0.58544,                0.64989,                0.35313,                 1.6238,                 1.3376,                 2.4461,                0.00703,                0.00703,                0.00703
                     32,                  1.564,                 1.5353,                 2.3378,                 0.7823,                0.58489,                0.65714,                0.36312,                   1.59,                 1.3172,                 2.4353,               0.006931,               0.006931,               0.006931
                     33,                 1.5476,                 1.4888,                 2.3153,                0.76201,                0.58579,                0.65523,                0.36118,                 1.5984,                 1.3228,                 2.4455,               0.006832,               0.006832,               0.006832
                     34,                 1.5374,                 1.4973,                 2.3041,                0.76593,                0.58868,                0.65879,                0.36573,                 1.6021,                 1.2885,                 2.4349,               0.006733,               0.006733,               0.006733
                     35,                 1.5358,                 1.4731,                 2.2983,                0.79525,                0.60239,                0.67259,                0.37252,                 1.5862,                 1.2619,                 2.4179,               0.006634,               0.006634,               0.006634
                     36,                   1.53,                 1.4671,                 2.2794,                 0.7967,                 0.6061,                0.67651,                0.37802,                 1.5909,                  1.249,                 2.3952,               0.006535,               0.006535,               0.006535
                     37,                 1.5283,                 1.4441,                 2.2799,                0.79976,                0.59404,                0.67213,                 0.3756,                 1.5937,                 1.2556,                 2.4091,               0.006436,               0.006436,               0.006436
