                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0809,                 5.1218,                 6.1329,                0.05192,                0.10952,                  0.029,                0.00813,                 3.1037,                 5.2905,                 5.5922,               0.070069,              0.0033257,              0.0033257
                      2,                 2.8258,                 3.9094,                  4.441,                 0.2108,                0.25603,                0.15348,                0.05749,                 2.4041,                 4.3714,                 4.4335,               0.040047,               0.006637,               0.006637
                      3,                 2.2656,                 3.2707,                 3.7302,                0.26837,                 0.3156,                 0.2578,                0.10013,                 2.1475,                 3.0568,                 3.9835,               0.010003,              0.0099264,              0.0099264
                      4,                 2.0803,                 3.0393,                 3.4898,                0.30162,                0.37208,                0.29111,                0.12517,                 2.0535,                 2.9948,                 3.8657,               0.009901,               0.009901,               0.009901
                      5,                 1.9936,                 2.8951,                 3.3998,                0.32668,                0.38317,                0.31632,                0.13556,                 1.9949,                 2.9226,                 3.7548,               0.009868,               0.009868,               0.009868
                      6,                 1.9473,                 2.7994,                 3.3361,                0.33548,                0.36813,                0.32123,                0.13713,                 1.9996,                 2.7495,                 3.7024,               0.009835,               0.009835,               0.009835
                      7,                 1.9051,                 2.6901,                 3.2893,                0.35234,                0.38764,                0.35068,                0.16205,                 1.9319,                 2.6375,                 3.6469,               0.009802,               0.009802,               0.009802
                      8,                 1.8831,                 2.6521,                 3.2646,                0.36857,                0.41629,                0.35193,                 0.1588,                 1.8567,                 2.5965,                 3.5396,               0.009769,               0.009769,               0.009769
                      9,                 1.8451,                 2.6023,                 3.2114,                0.38657,                0.40424,                0.36068,                0.16101,                 1.9363,                 2.5444,                 3.6068,               0.009736,               0.009736,               0.009736
                     10,                 1.8185,                 2.5301,                 3.1957,                0.39239,                0.40276,                0.36449,                0.17058,                 1.8516,                 2.4535,                 3.5123,               0.009703,               0.009703,               0.009703
                     11,                 1.8033,                 2.4829,                 3.1638,                0.43914,                0.43375,                0.40367,                0.18363,                 1.8173,                 2.3126,                 3.4856,                0.00967,                0.00967,                0.00967
                     12,                 1.7936,                 2.4469,                 3.1494,                0.44643,                0.44121,                 0.3892,                0.18327,                 1.8053,                 2.3197,                 3.4375,               0.009637,               0.009637,               0.009637
                     13,                 1.7731,                 2.4243,                  3.121,                0.40907,                0.43765,                0.39237,                0.18683,                 1.7992,                 2.3477,                 3.4469,               0.009604,               0.009604,               0.009604
                     14,                  1.767,                 2.3885,                 3.1129,                0.45412,                0.42486,                 0.4065,                0.19194,                 1.7887,                 2.3021,                 3.4085,               0.009571,               0.009571,               0.009571
                     15,                 1.7422,                 2.3718,                 3.0819,                0.48383,                0.43298,                0.42368,                0.19751,                 1.8517,                 2.3076,                 3.4439,               0.009538,               0.009538,               0.009538
                     16,                  1.744,                 2.3759,                 3.0951,                0.46618,                 0.4537,                0.41321,                0.19844,                 1.7739,                  2.236,                 3.3658,               0.009505,               0.009505,               0.009505
                     17,                 1.7343,                 2.3315,                 3.0911,                0.49872,                0.45824,                0.43979,                0.20628,                 1.7525,                 2.2436,                 3.3885,               0.009472,               0.009472,               0.009472
                     18,                 1.7217,                 2.3178,                 3.0794,                0.51844,                0.44276,                0.43328,                0.20733,                 1.7514,                 2.2115,                 3.3647,               0.009439,               0.009439,               0.009439
                     19,                 1.7206,                 2.3295,                 3.0711,                0.48908,                0.44602,                0.43651,                0.21475,                 1.7054,                 2.1775,                 3.2938,               0.009406,               0.009406,               0.009406
                     20,                 1.7131,                 2.2888,                 3.0677,                0.53784,                0.48105,                0.45533,                0.22103,                 1.7267,                 2.1306,                  3.319,               0.009373,               0.009373,               0.009373
                     21,                 1.6898,                 2.2528,                  3.028,                0.51421,                 0.4715,                0.45089,                0.21932,                 1.7381,                 2.1386,                 3.3396,                0.00934,                0.00934,                0.00934
                     22,                 1.6813,                 2.2356,                  3.018,                0.53474,                0.48227,                0.46805,                0.22801,                  1.717,                 2.0654,                 3.3158,               0.009307,               0.009307,               0.009307
                     23,                 1.6714,                 2.2149,                  3.011,                0.53654,                0.47233,                0.47257,                0.22777,                 1.6976,                 2.0834,                 3.2828,               0.009274,               0.009274,               0.009274
                     24,                 1.6696,                 2.2141,                 3.0173,                0.55561,                0.48099,                0.47701,                0.23151,                 1.7058,                 2.0833,                 3.2684,               0.009241,               0.009241,               0.009241
                     25,                 1.6635,                 2.2042,                 2.9942,                0.58521,                0.47745,                0.48995,                0.24039,                 1.6819,                 2.0878,                 3.2517,               0.009208,               0.009208,               0.009208
                     26,                 1.6585,                  2.188,                 2.9871,                0.56757,                0.47823,                0.48569,                0.23796,                 1.6976,                 2.0965,                 3.2647,               0.009175,               0.009175,               0.009175
                     27,                 1.6444,                 2.1818,                 2.9801,                0.52572,                0.48049,                 0.4766,                0.23596,                 1.6905,                 2.0303,                 3.2685,               0.009142,               0.009142,               0.009142
                     28,                 1.6506,                 2.1698,                 2.9767,                 0.5316,                0.49892,                0.48413,                0.24055,                 1.6619,                 2.0936,                 3.2048,               0.009109,               0.009109,               0.009109
                     29,                  1.655,                 2.1756,                 2.9724,                0.56618,                0.49358,                0.49029,                0.24389,                 1.6622,                 1.9943,                  3.231,               0.009076,               0.009076,               0.009076
                     30,                 1.6251,                 2.1496,                 2.9627,                0.58249,                0.48453,                0.49074,                 0.2479,                 1.6458,                 2.0101,                 3.2003,               0.009043,               0.009043,               0.009043
                     31,                 1.6301,                 2.1418,                 2.9716,                0.57436,                0.49525,                0.50221,                 0.2531,                 1.6465,                 1.9722,                 3.1999,                0.00901,                0.00901,                0.00901
                     32,                 1.6322,                 2.1214,                 2.9451,                 0.5739,                0.50597,                0.50093,                0.24862,                 1.6406,                 1.9549,                 3.2003,               0.008977,               0.008977,               0.008977
                     33,                 1.6242,                 2.1123,                 2.9474,                0.56958,                0.51743,                0.50126,                0.25451,                 1.6294,                 1.9533,                 3.1733,               0.008944,               0.008944,               0.008944
                     34,                 1.6225,                 2.1004,                 2.9497,                 0.5719,                0.51182,                   0.51,                0.25531,                 1.6296,                 1.9568,                 3.1731,               0.008911,               0.008911,               0.008911
                     35,                 1.6251,                 2.1091,                 2.9472,                0.61853,                0.49749,                0.51466,                0.26054,                 1.6282,                 1.9381,                 3.1691,               0.008878,               0.008878,               0.008878
                     36,                  1.623,                 2.1041,                 2.9429,                0.62694,                0.50682,                0.52718,                0.26803,                 1.6081,                 1.8955,                  3.147,               0.008845,               0.008845,               0.008845
