                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1277,                 4.3207,                 4.1709,                0.01969,                0.14573,                 0.0119,                0.00332,                 2.7029,                 12.823,                 4.3483,              0.0033257,              0.0033257,              0.0033257
                      2,                 2.8139,                 3.5743,                 3.4079,                0.17064,                0.22973,                0.13889,                0.05244,                 2.2656,                  3.497,                 3.0057,              0.0065931,              0.0065931,              0.0065931
                      3,                 2.2013,                 2.8581,                 2.7403,                0.30634,                0.27747,                0.20152,                0.06852,                 2.1265,                 2.8686,                 2.7014,              0.0097945,              0.0097945,              0.0097945
                      4,                 2.0177,                 2.5323,                 2.4771,                0.34169,                 0.3752,                0.31927,                 0.1426,                 1.8931,                 2.4967,                 2.4702,               0.009703,               0.009703,               0.009703
                      5,                 1.9351,                 2.3906,                 2.3566,                0.46863,                0.41531,                0.40615,                0.17808,                 1.8904,                 2.2257,                 2.3395,               0.009604,               0.009604,               0.009604
                      6,                 1.8717,                 2.2851,                 2.2971,                0.50864,                  0.438,                 0.4158,                0.18492,                  1.893,                 2.1566,                 2.4036,               0.009505,               0.009505,               0.009505
                      7,                 1.8452,                 2.2087,                 2.2611,                0.48777,                0.44724,                0.44218,                0.20271,                 1.8176,                 2.2774,                 2.3073,               0.009406,               0.009406,               0.009406
                      8,                 1.8094,                 2.1416,                 2.2056,                0.58091,                 0.4694,                0.47727,                 0.2311,                 1.7948,                 1.9428,                 2.2414,               0.009307,               0.009307,               0.009307
                      9,                 1.7779,                 2.1021,                 2.1806,                0.55843,                0.47059,                0.48546,                0.23134,                 1.8039,                 1.8919,                 2.2524,               0.009208,               0.009208,               0.009208
                     10,                 1.7752,                 2.0732,                 2.1531,                0.60825,                 0.4717,                0.50018,                0.24489,                 1.7678,                 1.8845,                 2.2035,               0.009109,               0.009109,               0.009109
                     11,                 1.7504,                 2.0123,                 2.1225,                0.61759,                0.49217,                0.52414,                0.24863,                 1.7998,                 1.7926,                 2.2107,                0.00901,                0.00901,                0.00901
                     12,                 1.7339,                 1.9648,                  2.104,                0.63723,                0.48462,                0.53076,                0.26493,                 1.7177,                 1.7854,                 2.1707,               0.008911,               0.008911,               0.008911
                     13,                 1.7048,                 1.9374,                 2.0733,                0.64693,                0.48904,                0.53373,                0.26436,                 1.7163,                 1.7863,                 2.1223,               0.008812,               0.008812,               0.008812
                     14,                 1.7054,                 1.9156,                 2.0744,                 0.6512,                0.50334,                0.54897,                0.27235,                 1.7378,                 1.7071,                 2.1288,               0.008713,               0.008713,               0.008713
                     15,                 1.6825,                 1.8647,                 2.0464,                 0.6853,                0.50996,                0.56459,                0.28955,                 1.6798,                 1.6868,                 2.0648,               0.008614,               0.008614,               0.008614
                     16,                 1.6742,                 1.8574,                 2.0475,                0.67099,                 0.5188,                0.57151,                0.29419,                 1.6919,                 1.6236,                 2.0954,               0.008515,               0.008515,               0.008515
                     17,                 1.6658,                 1.8107,                 2.0213,                0.65858,                0.55095,                0.58014,                 0.2923,                 1.7099,                 1.6172,                 2.1216,               0.008416,               0.008416,               0.008416
                     18,                 1.6612,                 1.8121,                 2.0135,                0.72705,                0.53085,                0.59524,                0.30872,                 1.6932,                 1.5762,                 2.0583,               0.008317,               0.008317,               0.008317
                     19,                 1.6543,                 1.7941,                 2.0016,                0.69733,                0.53757,                0.58675,                0.30921,                 1.6798,                 1.5596,                 2.0945,               0.008218,               0.008218,               0.008218
                     20,                  1.649,                 1.7534,                 1.9982,                0.72678,                0.53857,                0.60428,                0.32348,                 1.6651,                 1.5135,                 2.0431,               0.008119,               0.008119,               0.008119
                     21,                 1.6318,                 1.7372,                 1.9901,                0.71646,                0.53426,                0.59078,                0.31851,                 1.6217,                 1.5562,                 2.0339,                0.00802,                0.00802,                0.00802
                     22,                 1.6173,                 1.7189,                 1.9819,                 0.7151,                0.54367,                0.59947,                0.31612,                 1.6601,                 1.5138,                 2.0428,               0.007921,               0.007921,               0.007921
                     23,                 1.6275,                 1.6894,                 1.9748,                0.72661,                0.55016,                0.61192,                0.32288,                  1.652,                 1.4989,                 2.0513,               0.007822,               0.007822,               0.007822
                     24,                 1.6067,                 1.6625,                 1.9584,                0.73183,                0.55033,                0.61011,                0.32903,                 1.6443,                  1.462,                 2.0172,               0.007723,               0.007723,               0.007723
                     25,                 1.6147,                 1.6631,                 1.9483,                0.75748,                0.56011,                0.62663,                0.33597,                 1.6343,                 1.4361,                  2.016,               0.007624,               0.007624,               0.007624
                     26,                 1.5967,                 1.6291,                 1.9375,                 0.7555,                0.56606,                0.63122,                0.34425,                 1.6319,                 1.4006,                 2.0019,               0.007525,               0.007525,               0.007525
                     27,                 1.5971,                 1.6084,                 1.9411,                0.75757,                0.57995,                0.64016,                0.34654,                 1.6319,                 1.3759,                 2.0122,               0.007426,               0.007426,               0.007426
                     28,                 1.5868,                 1.6211,                 1.9198,                0.74459,                0.56948,                0.63267,                0.34508,                 1.6127,                 1.3926,                 1.9705,               0.007327,               0.007327,               0.007327
                     29,                 1.5791,                 1.5964,                  1.915,                0.75303,                 0.5731,                 0.6362,                0.34688,                 1.6182,                 1.3951,                 1.9802,               0.007228,               0.007228,               0.007228
                     30,                 1.5702,                 1.5718,                 1.8918,                 0.7915,                0.57573,                0.64592,                0.35375,                 1.6354,                 1.3632,                 1.9764,               0.007129,               0.007129,               0.007129
                     31,                 1.5622,                 1.5573,                 1.8864,                0.77947,                0.56219,                 0.6442,                0.35502,                 1.6108,                 1.3655,                 1.9649,                0.00703,                0.00703,                0.00703
                     32,                 1.5702,                 1.5583,                 1.8964,                0.76441,                0.58195,                 0.6449,                0.35698,                 1.6077,                 1.3463,                 1.9652,               0.006931,               0.006931,               0.006931
